,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,I2,Tau2,H,Q,symbol
ENSG00000185811.15,0.923808203220332,0.896788532519702,0.951641959492193,1.67076373524223e-07,0.921252769991976,0.886619567162712,0.957238817697032,2.72496785171973e-05,0.299754559625531,0.00233208548371152,1.19501912345206,31.417555519155,IKZF1
ENSG00000136603.12,1.13071697802245,1.06947897357068,1.19546144990546,1.52931317852019e-05,1.14996146821882,1.06394074840082,1.24293705300381,0.000427646709917377,0.38888867095551,0.0121422144020736,1.27920407003992,35.9999871617474,SKIL
ENSG00000165030.3,1.0999170940582,1.04352840933394,1.15935282928581,0.000389972312589628,1.10675558184343,1.04033304430172,1.17741902427387,0.00131756588736729,0.189681147296111,0.00401031208583768,1.1108924838144,27.1498064330972,NFIL3
ENSG00000156273.14,1.14198147573793,1.07216710066063,1.21634182780373,3.70806668381752e-05,1.14407633134435,1.05253606602792,1.24357795821852,0.00155972991261737,0.323632211755853,0.0117705743705028,1.21592991077758,32.5266820543185,BACH1
ENSG00000132274.14,0.941805416142872,0.910627612420072,0.974050676454645,0.000481778901161232,0.941581776183924,0.897286031264231,0.988064240777862,0.0143505809767077,0.40670387731504,0.00480922030634226,1.29826767801547,37.0809772031529,TRIM22
ENSG00000134107.4,1.0736125282265,1.02665694464491,1.12271569074475,0.00185236341519424,1.07799043308745,1.00987911385778,1.15069552175303,0.0241224736481578,0.445725032881239,0.00987189908338153,1.34318974555635,39.6914912364899,BHLHE40
ENSG00000171940.12,1.06842702604678,1.00813571518992,1.13232404406198,0.0255240019008412,1.06842702604678,1.00813571518992,1.13232404406198,0.0255240019008412,0,0,1,21.7255508002133,ZNF217
ENSG00000152804.9,0.945169483471535,0.90874947288212,0.983049101148398,0.00491280232210636,0.937643009929854,0.886055851131038,0.992233630586674,0.0257473595236556,0.401765218506798,0.00645213087849249,1.29289772212794,36.7748594374398,HHEX
ENSG00000030419.15,0.945058364886102,0.91171415850548,0.979622072015705,0.00204677547585784,0.948286817240127,0.902516626767173,0.996378195238938,0.0354030584818853,0.351071949784923,0.00434993439127696,1.24137137424408,33.9020635534378,IKZF2
ENSG00000123268.7,1.12767700634105,1.03409745001943,1.22972494575479,0.00655715162392169,1.15800066122477,1.00117580483584,1.33939066937089,0.0481784246500764,0.557748637351031,0.0583712361996856,1.50371457820251,49.7454657193723,ATF1
ENSG00000168310.9,0.850914577395017,0.785006203797345,0.922356555299607,8.67765514780935e-05,0.850105084242822,0.712165348494513,1.01476245057866,0.072218801493427,0.728300549881536,0.108269168341454,1.91847268554842,80.9718237942984,IRF2
ENSG00000131196.16,0.965425153609991,0.925915729774103,1.00662047014826,0.0988507736187084,0.940223555803444,0.875791102336482,1.00939634180941,0.0888019132662372,0.568584227257919,0.0142319773466259,1.52248138202037,50.9948902891701,NFATC1
ENSG00000266412.4,0.851883559739136,0.791826373461033,0.916495867877953,1.72602211783441e-05,0.876307711711193,0.74959518906119,1.02443988009883,0.0975287661543327,0.713074112673439,0.0826222464809824,1.86687454159392,76.6748521891334,NCOA4
ENSG00000177606.6,1.05361224098628,1.00744975801524,1.10188994093672,0.0223327776636028,1.05590417708466,0.986407297727772,1.13029742759723,0.117353886506799,0.474434597735711,0.0111586308579539,1.37938854769516,41.8596808412761,JUN
ENSG00000180884.9,0.960558767314187,0.914925458569617,1.00846810723427,0.1051457392195,0.935442571180007,0.860359019481303,1.01707866618684,0.11798786739397,0.479729201900622,0.0148094714461193,1.38638954557395,42.2856713856881,ZNF792
ENSG00000139687.12,0.947872004565826,0.897938898157452,1.00058182008069,0.0525137086090921,0.947166290997303,0.881287488710652,1.01796972530962,0.140010806691851,0.318844505729927,0.00849973648142041,1.21164911095566,32.298058497752,RB1
