,TE.fixed,lower.fixed,upper.fixed,pval.fixed,TE.random,lower.random,upper.random,pval.random,I2,Tau2,H,Q,symbol
ENSG00000175592.7,1.09244364081561,1.06404306774665,1.12160225890652,4.74161164242342e-11,1.08409720123453,1.04007134750324,1.12998665384433,0.000134870867408936,0.5087548443459,0.00442658280372039,1.42675978485758,44.7841566411106,FOSL1
ENSG00000108924.12,0.916001121396682,0.895986570642567,0.936462757246728,7.03345353247959e-15,0.916472494015684,0.869849201270586,0.965594761782223,0.00105952786675544,0.763197596995385,0.00975923168070831,2.05497691457186,92.9044626273124,HLF
ENSG00000165030.3,1.0999170940582,1.04352840933394,1.15935282928581,0.000389972312589628,1.10675558184343,1.04033304430172,1.17741902427387,0.00131756588736729,0.189681147296111,0.00401031208583768,1.1108924838144,27.1498064330972,NFIL3
ENSG00000156273.14,1.14198147573793,1.07216710066063,1.21634182780373,3.70806668381752e-05,1.14407633134435,1.05253606602792,1.24357795821852,0.00155972991261737,0.323632211755853,0.0117705743705028,1.21592991077758,32.5266820543185,BACH1
ENSG00000088305.17,1.0979386458323,1.05619086387681,1.14133658152213,2.3125878524564e-06,1.12084826458676,1.04248726207294,1.20509945582361,0.00203414679987159,0.633437095912755,0.0161017597087005,1.65167936765061,60.0169841374997,DNMT3B
ENSG00000095574.10,0.82943603512654,0.76301631373478,0.90163751938542,1.12646005834918e-05,0.84344874849924,0.753913122647594,0.943617732566608,0.0029439206172843,0.344587434256554,0.0225526675813483,1.23521517433487,33.5666435919565,IKZF5
ENSG00000180035.9,0.884147021137948,0.823840654490323,0.948867903916108,0.000635264653808682,0.873961055924578,0.796607553205937,0.958825866261083,0.00438300734713307,0.290800678091806,0.0128060419475445,1.18745140081461,31.0208982445247,ZNF48
ENSG00000102870.5,0.878874591447135,0.816923495334539,0.945523726398704,0.000536287555583934,0.850715343917956,0.758288451374467,0.954408042303221,0.00586614585663023,0.489078347004642,0.0316858668265133,1.39901652936311,43.0594394874862,ZNF629
ENSG00000175832.11,1.06078666384016,1.03436135595284,1.08788707128811,4.54407532782182e-06,1.05385296991242,1.01319064864598,1.09614718974898,0.0089830344151391,0.491739270479741,0.00380693574656863,1.40267392018907,43.2848707803286,ETV4
ENSG00000167771.5,1.05193194807739,1.02553194619917,1.07901155833033,9.45846907588655e-05,1.04734712052585,1.01085154532129,1.08516032443234,0.0105760804326993,0.361897835994516,0.00227684776674663,1.25185748758749,34.4772377230348,RCOR2
ENSG00000064961.17,0.872558883308597,0.811712871161902,0.937965913674526,0.00021863370619385,0.86332918236378,0.770212694964399,0.967703183800889,0.0116108086275989,0.512325816133798,0.0337560730976236,1.43197394860954,45.112086568921,HMG20B
ENSG00000125651.12,0.849254519759189,0.770912040296919,0.935558405669245,0.000936624490339329,0.839152451421296,0.730596536921563,0.963838180363522,0.013098924986889,0.400750301657798,0.0387261986041455,1.29180240263884,36.7125758441966,GTF2F1
ENSG00000132274.14,0.941805416142872,0.910627612420072,0.974050676454645,0.000481778901161232,0.941581776183924,0.897286031264231,0.988064240777862,0.0143505809767077,0.40670387731504,0.00480922030634226,1.29826767801547,37.0809772031529,TRIM22
ENSG00000132024.16,0.871690368734516,0.80960542908317,0.938536318617569,0.000269863622245749,0.867664432298517,0.773684301385822,0.973060414599881,0.0152303585418042,0.485431639524238,0.0317324803377725,1.39405035223938,42.7542804607324,CC2D1A
ENSG00000245848.2,0.949877086214278,0.919654076170287,0.98109332877883,0.00182731802991252,0.94637257251488,0.904009433683193,0.990720906926175,0.0183273561303853,0.398854638314422,0.00429021560033366,1.28976399711445,36.5968057015582,CEBPA
ENSG00000172466.14,0.866535489498433,0.795265322621735,0.944192753287501,0.00107043523330811,0.838986500272104,0.723492971417895,0.972916635609243,0.0201619351254841,0.570667814485811,0.0606522181501187,1.52617127927296,51.2423730209086,ZNF24
ENSG00000141568.18,1.21792479729402,1.11115037335209,1.33495955852383,2.53829352036384e-05,1.22840900264459,1.03250687271028,1.46148051665482,0.0202943542788425,0.63016528528523,0.0894081633205904,1.64435719522641,59.486032880843,FOXK2
ENSG00000197905.7,1.09815674145667,1.047855538743,1.15087260048592,9.07766337404483e-05,1.10118265137402,1.01442861331497,1.19535590358059,0.021328111893979,0.56942664911599,0.0182554193085983,1.52397003065992,51.0946623956912,TEAD4
ENSG00000171940.12,1.06842702604678,1.00813571518992,1.13232404406198,0.0255240019008412,1.06842702604678,1.00813571518992,1.13232404406198,0.0255240019008412,0,0,1,21.7255508002133,ZNF217
ENSG00000149136.6,1.20475420302749,1.09772131528117,1.32222329065427,8.70592280415187e-05,1.23221438913664,1.02188676628977,1.48583223785954,0.0287651477691016,0.676916813918322,0.112264404049243,1.75931182389345,68.0939180612087,SSRP1
ENSG00000103510.18,0.869538143161788,0.793636107906762,0.952699322624669,0.00270193589860524,0.858181022844337,0.746521712471974,0.986541524065586,0.031516616552708,0.461898855021807,0.0443693435373352,1.36322656935848,40.8845069469079,KAT8
ENSG00000004487.14,1.18781597212858,1.09055437927108,1.29375188478617,7.85621726776142e-05,1.17559487652766,1.01255502498952,1.36488712179605,0.0336902847211271,0.578880440491048,0.0621255392974933,1.54098103318723,52.2416959821415,KDM1A
ENSG00000106459.13,0.830500620390545,0.723064794813156,0.953899685639252,0.00859595564033981,0.790335923488556,0.634314359528902,0.984733929751196,0.0359872843244252,0.526008340865106,0.130549838080639,1.45249501409595,46.4143188514188,NRF1
ENSG00000141646.12,0.898327821821299,0.832539808736643,0.969314460389334,0.00572485215928269,0.857553643678098,0.740740975902671,0.992787324731729,0.0397003100741579,0.652398789571216,0.0667806732536215,1.69613087571181,63.2909188459437,SMAD4
