	SLC7A11	SAT2	NCOA4
FUS	-0.062896896	-0.022266899	-0.50343709
ZBTB17	-0.045050811	0.215793719	-0.478130131
ZNF692	-0.00973365	0.176140282	-0.476236613
NRF1	-0.049069067	0.012623282	-0.467450556
MTA1	0.125230664	-0.04497415	-0.456179415
RCOR2	0.262594127	-0.143708332	-0.446537066
E2F1	0.180347926	-0.255499389	-0.444002025
MIER2	0.009413153	0.015048718	-0.441054495
DMAP1	-0.225977549	0.453571047	-0.435723847
ZNF205	-0.139474111	0.26678362	-0.434116489
RFXANK	-0.09482495	0.29518724	-0.433538461
TRIM28	0.067944706	-0.100471847	-0.404228751
HMG20A	0.033228446	-0.236579904	0.270963372
NCOR1	0.03032703	-0.192261208	0.276053008
EP300	0.157062019	-0.450097997	0.279017729
ZBTB11	0.213556014	-0.505497131	0.282258592
CREB1	0.145324191	-0.503485165	0.284160527
ATF2	0.041821691	-0.106417616	0.28425487
KLF6	-0.134188682	-0.166783029	0.28518632
MIER3	0.035471877	-0.193720671	0.286296827
ATF1	0.088931142	-0.336895191	0.30131163
RB1	0.152193405	-0.275703966	0.307988299
NBN	0.100599843	-0.350872644	0.310110841
THRB	-0.017211971	0.07935528	0.310257636
ZXDB	0.016312491	-0.112989842	0.312214285
HLF	-0.201418305	0.333789928	0.329814809
KLF11	-0.251023264	-0.196648091	0.337667732
SMAD5	0.047793965	-0.154654696	0.347294869
BACH1	0.155521632	-0.312042368	0.362611433
ZFP91	0.177881034	-0.342355223	0.371558612
KLF9	-0.187827822	0.252754816	0.375045345
ELF1	0.089302732	-0.463831197	0.38126042
IKZF5	-0.045787543	-0.057509836	0.457029101
